date,season,ldh_region,region_name,ed_visits,health_population_2020,ed_visits_per_100k,lix_parish_count,advisory_parishes,warning_parishes,advisory_pct,warning_pct,severity_score,headline,mean_hazard_hours
2023-04-01,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-01,2023,2,Capital Region,1,696328,0.144,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-01,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-01,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-02,2023,1,Southeast,2,892057,0.224,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-02,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-02,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-02,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-03,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-03,2023,2,Capital Region,1,696328,0.144,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-03,2023,3,South Central,1,392800,0.255,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-03,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-04,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-04,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-04,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-04,2023,9,Northshore,1,596392,0.168,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-05,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-05,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-05,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-05,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-06,2023,1,Southeast,2,892057,0.224,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-06,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-06,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-06,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-07,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-07,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-07,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-07,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-08,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-08,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-08,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-08,2023,9,Northshore,2,596392,0.335,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-09,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-09,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-09,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-09,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-10,2023,1,Southeast,0,892057,0.000,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-10,2023,2,Capital Region,1,696328,0.144,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-10,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-10,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-11,2023,1,Southeast,0,892057,0.000,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-11,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-11,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-11,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-12,2023,1,Southeast,0,892057,0.000,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-12,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-12,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-12,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-13,2023,1,Southeast,0,892057,0.000,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-13,2023,2,Capital Region,1,696328,0.144,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-13,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-13,2023,9,Northshore,1,596392,0.168,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-14,2023,1,Southeast,2,892057,0.224,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-14,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-14,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-14,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-15,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-15,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-15,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-15,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-16,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-16,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-16,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-16,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-17,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-17,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-17,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-17,2023,9,Northshore,1,596392,0.168,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-18,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-18,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-18,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-18,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-19,2023,1,Southeast,0,892057,0.000,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-19,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-19,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-19,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
2023-04-20,2023,1,Southeast,1,892057,0.112,4,0,0,0.00,0.00,0.0000,none,0.00
2023-04-20,2023,2,Capital Region,0,696328,0.000,7,0,0,0.00,0.00,0.0000,none,0.00
2023-04-20,2023,3,South Central,0,392800,0.000,6,0,0,0.00,0.00,0.0000,none,0.00
2023-04-20,2023,9,Northshore,0,596392,0.000,5,0,0,0.00,0.00,0.0000,none,0.00
