date,parish,ldh_region,heat_advisory,excessive_heat_warning,headline,hazard_hours
2023-01-01,Ascension,2,0,0,none,0.00
2023-01-01,Assumption,3,0,0,none,0.00
2023-01-01,East Baton Rouge,2,0,0,none,0.00
2023-01-01,East Feliciana,2,0,0,none,0.00
2023-01-01,Iberville,2,0,0,none,0.00
2023-01-01,Jefferson,1,0,0,none,0.00
2023-01-01,Lafourche,3,0,0,none,0.00
2023-01-01,Livingston,9,0,0,none,0.00
2023-01-01,Orleans,1,0,0,none,0.00
2023-01-01,Plaquemines,1,0,0,none,0.00
2023-01-01,Pointe Coupee,2,0,0,none,0.00
2023-01-01,St. Bernard,1,0,0,none,0.00
2023-01-01,St. Charles,3,0,0,none,0.00
2023-01-01,St. Helena,9,0,0,none,0.00
2023-01-01,St. James,3,0,0,none,0.00
2023-01-01,St. John the Baptist,3,0,0,none,0.00
2023-01-01,St. Tammany,9,0,0,none,0.00
2023-01-01,Tangipahoa,9,0,0,none,0.00
2023-01-01,Terrebonne,3,0,0,none,0.00
2023-01-01,Washington,9,0,0,none,0.00
2023-01-01,West Baton Rouge,2,0,0,none,0.00
2023-01-01,West Feliciana,2,0,0,none,0.00
2023-01-02,Ascension,2,0,0,none,0.00
2023-01-02,Assumption,3,0,0,none,0.00
2023-01-02,East Baton Rouge,2,0,0,none,0.00
2023-01-02,East Feliciana,2,0,0,none,0.00
2023-01-02,Iberville,2,0,0,none,0.00
2023-01-02,Jefferson,1,0,0,none,0.00
2023-01-02,Lafourche,3,0,0,none,0.00
2023-01-02,Livingston,9,0,0,none,0.00
2023-01-02,Orleans,1,0,0,none,0.00
2023-01-02,Plaquemines,1,0,0,none,0.00
2023-01-02,Pointe Coupee,2,0,0,none,0.00
2023-01-02,St. Bernard,1,0,0,none,0.00
2023-01-02,St. Charles,3,0,0,none,0.00
2023-01-02,St. Helena,9,0,0,none,0.00
2023-01-02,St. James,3,0,0,none,0.00
2023-01-02,St. John the Baptist,3,0,0,none,0.00
2023-01-02,St. Tammany,9,0,0,none,0.00
2023-01-02,Tangipahoa,9,0,0,none,0.00
2023-01-02,Terrebonne,3,0,0,none,0.00
2023-01-02,Washington,9,0,0,none,0.00
2023-01-02,West Baton Rouge,2,0,0,none,0.00
2023-01-02,West Feliciana,2,0,0,none,0.00
2023-01-03,Ascension,2,0,0,none,0.00
2023-01-03,Assumption,3,0,0,none,0.00
2023-01-03,East Baton Rouge,2,0,0,none,0.00
2023-01-03,East Feliciana,2,0,0,none,0.00
2023-01-03,Iberville,2,0,0,none,0.00
2023-01-03,Jefferson,1,0,0,none,0.00
2023-01-03,Lafourche,3,0,0,none,0.00
2023-01-03,Livingston,9,0,0,none,0.00
2023-01-03,Orleans,1,0,0,none,0.00
2023-01-03,Plaquemines,1,0,0,none,0.00
2023-01-03,Pointe Coupee,2,0,0,none,0.00
2023-01-03,St. Bernard,1,0,0,none,0.00
2023-01-03,St. Charles,3,0,0,none,0.00
2023-01-03,St. Helena,9,0,0,none,0.00
2023-01-03,St. James,3,0,0,none,0.00
2023-01-03,St. John the Baptist,3,0,0,none,0.00
2023-01-03,St. Tammany,9,0,0,none,0.00
2023-01-03,Tangipahoa,9,0,0,none,0.00
2023-01-03,Terrebonne,3,0,0,none,0.00
2023-01-03,Washington,9,0,0,none,0.00
2023-01-03,West Baton Rouge,2,0,0,none,0.00
2023-01-03,West Feliciana,2,0,0,none,0.00
2023-01-04,Ascension,2,0,0,none,0.00
2023-01-04,Assumption,3,0,0,none,0.00
2023-01-04,East Baton Rouge,2,0,0,none,0.00
2023-01-04,East Feliciana,2,0,0,none,0.00
2023-01-04,Iberville,2,0,0,none,0.00
2023-01-04,Jefferson,1,0,0,none,0.00
2023-01-04,Lafourche,3,0,0,none,0.00
2023-01-04,Livingston,9,0,0,none,0.00
2023-01-04,Orleans,1,0,0,none,0.00
