date,season,ldh_region,region_name,ed_visits,source_updated
2023-04-01,2023,1,Southeast,1,9/3/2026
2023-04-01,2023,2,Capital Region,1,9/3/2026
2023-04-01,2023,3,South Central,0,9/3/2026
2023-04-01,2023,9,Northshore,0,9/3/2026
2023-04-02,2023,1,Southeast,2,9/3/2026
2023-04-02,2023,2,Capital Region,0,9/3/2026
2023-04-02,2023,3,South Central,0,9/3/2026
2023-04-02,2023,9,Northshore,0,9/3/2026
2023-04-03,2023,1,Southeast,1,9/3/2026
2023-04-03,2023,2,Capital Region,1,9/3/2026
2023-04-03,2023,3,South Central,1,9/3/2026
2023-04-03,2023,9,Northshore,0,9/3/2026
2023-04-04,2023,1,Southeast,1,9/3/2026
2023-04-04,2023,2,Capital Region,0,9/3/2026
2023-04-04,2023,3,South Central,0,9/3/2026
2023-04-04,2023,9,Northshore,1,9/3/2026
2023-04-05,2023,1,Southeast,1,9/3/2026
2023-04-05,2023,2,Capital Region,0,9/3/2026
2023-04-05,2023,3,South Central,0,9/3/2026
2023-04-05,2023,9,Northshore,0,9/3/2026
2023-04-06,2023,1,Southeast,2,9/3/2026
2023-04-06,2023,2,Capital Region,0,9/3/2026
2023-04-06,2023,3,South Central,0,9/3/2026
2023-04-06,2023,9,Northshore,0,9/3/2026
2023-04-07,2023,1,Southeast,1,9/3/2026
2023-04-07,2023,2,Capital Region,0,9/3/2026
2023-04-07,2023,3,South Central,0,9/3/2026
2023-04-07,2023,9,Northshore,0,9/3/2026
2023-04-08,2023,1,Southeast,1,9/3/2026
2023-04-08,2023,2,Capital Region,0,9/3/2026
2023-04-08,2023,3,South Central,0,9/3/2026
2023-04-08,2023,9,Northshore,2,9/3/2026
2023-04-09,2023,1,Southeast,1,9/3/2026
2023-04-09,2023,2,Capital Region,0,9/3/2026
2023-04-09,2023,3,South Central,0,9/3/2026
2023-04-09,2023,9,Northshore,0,9/3/2026
2023-04-10,2023,1,Southeast,0,9/3/2026
2023-04-10,2023,2,Capital Region,1,9/3/2026
2023-04-10,2023,3,South Central,0,9/3/2026
2023-04-10,2023,9,Northshore,0,9/3/2026
2023-04-11,2023,1,Southeast,0,9/3/2026
2023-04-11,2023,2,Capital Region,0,9/3/2026
2023-04-11,2023,3,South Central,0,9/3/2026
2023-04-11,2023,9,Northshore,0,9/3/2026
2023-04-12,2023,1,Southeast,0,9/3/2026
2023-04-12,2023,2,Capital Region,0,9/3/2026
2023-04-12,2023,3,South Central,0,9/3/2026
2023-04-12,2023,9,Northshore,0,9/3/2026
2023-04-13,2023,1,Southeast,0,9/3/2026
2023-04-13,2023,2,Capital Region,1,9/3/2026
2023-04-13,2023,3,South Central,0,9/3/2026
2023-04-13,2023,9,Northshore,1,9/3/2026
2023-04-14,2023,1,Southeast,2,9/3/2026
2023-04-14,2023,2,Capital Region,0,9/3/2026
2023-04-14,2023,3,South Central,0,9/3/2026
2023-04-14,2023,9,Northshore,0,9/3/2026
2023-04-15,2023,1,Southeast,1,9/3/2026
2023-04-15,2023,2,Capital Region,0,9/3/2026
2023-04-15,2023,3,South Central,0,9/3/2026
2023-04-15,2023,9,Northshore,0,9/3/2026
2023-04-16,2023,1,Southeast,1,9/3/2026
2023-04-16,2023,2,Capital Region,0,9/3/2026
2023-04-16,2023,3,South Central,0,9/3/2026
2023-04-16,2023,9,Northshore,0,9/3/2026
2023-04-17,2023,1,Southeast,1,9/3/2026
2023-04-17,2023,2,Capital Region,0,9/3/2026
2023-04-17,2023,3,South Central,0,9/3/2026
2023-04-17,2023,9,Northshore,1,9/3/2026
2023-04-18,2023,1,Southeast,1,9/3/2026
2023-04-18,2023,2,Capital Region,0,9/3/2026
2023-04-18,2023,3,South Central,0,9/3/2026
2023-04-18,2023,9,Northshore,0,9/3/2026
2023-04-19,2023,1,Southeast,0,9/3/2026
2023-04-19,2023,2,Capital Region,0,9/3/2026
2023-04-19,2023,3,South Central,0,9/3/2026
2023-04-19,2023,9,Northshore,0,9/3/2026
2023-04-20,2023,1,Southeast,1,9/3/2026
2023-04-20,2023,2,Capital Region,0,9/3/2026
2023-04-20,2023,3,South Central,0,9/3/2026
2023-04-20,2023,9,Northshore,0,9/3/2026
2023-04-21,2023,1,Southeast,0,9/3/2026
2023-04-21,2023,2,Capital Region,0,9/3/2026
2023-04-21,2023,3,South Central,0,9/3/2026
2023-04-21,2023,9,Northshore,0,9/3/2026
2023-04-22,2023,1,Southeast,0,9/3/2026
2023-04-22,2023,2,Capital Region,0,9/3/2026
2023-04-22,2023,3,South Central,1,9/3/2026
2023-04-22,2023,9,Northshore,1,9/3/2026
2023-04-23,2023,1,Southeast,0,9/3/2026
2023-04-23,2023,2,Capital Region,0,9/3/2026
2023-04-23,2023,3,South Central,1,9/3/2026
2023-04-23,2023,9,Northshore,0,9/3/2026
2023-04-24,2023,1,Southeast,0,9/3/2026
2023-04-24,2023,2,Capital Region,0,9/3/2026
2023-04-24,2023,3,South Central,0,9/3/2026
2023-04-24,2023,9,Northshore,0,9/3/2026
2023-04-25,2023,1,Southeast,0,9/3/2026
