date,ldh_region,regional_wbgt_max_f,wbgt_points,wbgt_expected_points,source_model
2023-01-01,1,69.33,4,4,era5
2023-01-01,2,73.19,7,7,era5
2023-01-01,3,75.05,6,6,era5
2023-01-01,9,69.23,5,5,era5
2023-01-02,1,75.89,4,4,era5
2023-01-02,2,79.21,7,7,era5
2023-01-02,3,78.67,6,6,era5
2023-01-02,9,77.93,5,5,era5
2023-01-03,1,75.35,4,4,era5
2023-01-03,2,73.84,7,7,era5
2023-01-03,3,74.74,6,6,era5
2023-01-03,9,74.55,5,5,era5
2023-01-04,1,71.72,4,4,era5
2023-01-04,2,70.56,7,7,era5
2023-01-04,3,70.74,6,6,era5
2023-01-04,9,69.95,5,5,era5
2023-01-05,1,68.24,4,4,era5
2023-01-05,2,65.87,7,7,era5
2023-01-05,3,68.78,6,6,era5
2023-01-05,9,65.67,5,5,era5
2023-01-06,1,64.08,4,4,era5
2023-01-06,2,68.16,7,7,era5
2023-01-06,3,67.38,6,6,era5
2023-01-06,9,66.48,5,5,era5
2023-01-07,1,72.77,4,4,era5
2023-01-07,2,74.41,7,7,era5
2023-01-07,3,73.95,6,6,era5
2023-01-07,9,74.49,5,5,era5
2023-01-08,1,67.81,4,4,era5
2023-01-08,2,65.67,7,7,era5
2023-01-08,3,69.77,6,6,era5
2023-01-08,9,67.48,5,5,era5
2023-01-09,1,63.80,4,4,era5
2023-01-09,2,67.25,7,7,era5
2023-01-09,3,65.26,6,6,era5
2023-01-09,9,68.85,5,5,era5
2023-01-10,1,71.82,4,4,era5
2023-01-10,2,71.00,7,7,era5
2023-01-10,3,72.03,6,6,era5
2023-01-10,9,70.03,5,5,era5
2023-01-11,1,74.58,4,4,era5
2023-01-11,2,75.91,7,7,era5
2023-01-11,3,75.56,6,6,era5
2023-01-11,9,75.82,5,5,era5
2023-01-12,1,72.35,4,4,era5
2023-01-12,2,71.34,7,7,era5
2023-01-12,3,72.53,6,6,era5
2023-01-12,9,72.47,5,5,era5
2023-01-13,1,54.67,4,4,era5
2023-01-13,2,53.87,7,7,era5
2023-01-13,3,55.01,6,6,era5
2023-01-13,9,54.04,5,5,era5
2023-01-14,1,57.02,4,4,era5
2023-01-14,2,63.84,7,7,era5
2023-01-14,3,60.45,6,6,era5
2023-01-14,9,60.33,5,5,era5
2023-01-15,1,63.32,4,4,era5
2023-01-15,2,60.96,7,7,era5
2023-01-15,3,62.82,6,6,era5
2023-01-15,9,63.12,5,5,era5
2023-01-16,1,69.13,4,4,era5
2023-01-16,2,68.99,7,7,era5
2023-01-16,3,69.06,6,6,era5
2023-01-16,9,69.43,5,5,era5
2023-01-17,1,75.73,4,4,era5
2023-01-17,2,76.91,7,7,era5
2023-01-17,3,76.15,6,6,era5
2023-01-17,9,77.47,5,5,era5
2023-01-18,1,74.76,4,4,era5
2023-01-18,2,75.64,7,7,era5
2023-01-18,3,75.04,6,6,era5
2023-01-18,9,75.33,5,5,era5
2023-01-19,1,68.45,4,4,era5
2023-01-19,2,67.53,7,7,era5
2023-01-19,3,68.90,6,6,era5
2023-01-19,9,66.99,5,5,era5
2023-01-20,1,55.99,4,4,era5
2023-01-20,2,56.03,7,7,era5
2023-01-20,3,55.58,6,6,era5
2023-01-20,9,58.48,5,5,era5
2023-01-21,1,56.64,4,4,era5
2023-01-21,2,53.73,7,7,era5
2023-01-21,3,58.99,6,6,era5
2023-01-21,9,52.61,5,5,era5
2023-01-22,1,57.48,4,4,era5
2023-01-22,2,58.33,7,7,era5
2023-01-22,3,60.06,6,6,era5
2023-01-22,9,57.63,5,5,era5
2023-01-23,1,60.05,4,4,era5
2023-01-23,2,62.16,7,7,era5
2023-01-23,3,60.03,6,6,era5
2023-01-23,9,63.43,5,5,era5
2023-01-24,1,60.79,4,4,era5
2023-01-24,2,58.01,7,7,era5
2023-01-24,3,61.34,6,6,era5
2023-01-24,9,57.65,5,5,era5
2023-01-25,1,54.88,4,4,era5
2023-01-25,2,52.05,7,7,era5
2023-01-25,3,54.65,6,6,era5
2023-01-25,9,53.79,5,5,era5
2023-01-26,1,57.34,4,4,era5
2023-01-26,2,55.93,7,7,era5
2023-01-26,3,57.35,6,6,era5
2023-01-26,9,56.72,5,5,era5
2023-01-27,1,57.97,4,4,era5
2023-01-27,2,59.62,7,7,era5
2023-01-27,3,59.81,6,6,era5
2023-01-27,9,58.88,5,5,era5
2023-01-28,1,65.79,4,4,era5
2023-01-28,2,77.20,7,7,era5
2023-01-28,3,73.89,6,6,era5
2023-01-28,9,65.79,5,5,era5
2023-01-29,1,71.42,4,4,era5
2023-01-29,2,77.61,7,7,era5
2023-01-29,3,85.05,6,6,era5
2023-01-29,9,71.07,5,5,era5
2023-01-30,1,76.68,4,4,era5
2023-01-30,2,81.51,7,7,era5
2023-01-30,3,97.59,6,6,era5
2023-01-30,9,76.85,5,5,era5
2023-01-31,1,70.87,4,4,era5
2023-01-31,2,62.27,7,7,era5
2023-01-31,3,92.93,6,6,era5
2023-01-31,9,71.63,5,5,era5
2023-02-01,1,59.62,4,4,era5
2023-02-01,2,49.28,6,7,era5
2023-02-01,3,57.94,6,6,era5
2023-02-01,9,52.63,5,5,era5
2023-02-02,1,67.63,4,4,era5
2023-02-02,2,48.52,4,7,era5
2023-02-02,3,65.72,6,6,era5
2023-02-02,9,53.15,5,5,era5
2023-02-03,1,85.68,4,4,era5
2023-02-03,2,73.24,7,7,era5
2023-02-03,3,75.90,6,6,era5
2023-02-03,9,88.67,5,5,era5
2023-02-04,1,87.22,4,4,era5
2023-02-04,2,77.71,7,7,era5
2023-02-04,3,81.46,6,6,era5
2023-02-04,9,86.51,5,5,era5
2023-02-05,1,95.45,4,4,era5
2023-02-05,2,73.94,7,7,era5
2023-02-05,3,83.40,6,6,era5
2023-02-05,9,94.51,5,5,era5
2023-02-06,1,84.19,4,4,era5
2023-02-06,2,80.12,7,7,era5
2023-02-06,3,80.58,6,6,era5
2023-02-06,9,83.41,5,5,era5
2023-02-07,1,84.29,4,4,era5
2023-02-07,2,78.92,7,7,era5
2023-02-07,3,79.49,6,6,era5
2023-02-07,9,80.75,5,5,era5
2023-02-08,1,75.73,4,4,era5
2023-02-08,2,78.20,7,7,era5
2023-02-08,3,78.55,6,6,era5
2023-02-08,9,76.37,5,5,era5
2023-02-09,1,61.86,4,4,era5
2023-02-09,2,79.68,7,7,era5
2023-02-09,3,68.75,6,6,era5
2023-02-09,9,78.24,5,5,era5
2023-02-10,1,57.63,4,4,era5
2023-02-10,2,60.98,7,7,era5
2023-02-10,3,57.60,6,6,era5
2023-02-10,9,60.25,5,5,era5
2023-02-11,1,57.68,4,4,era5
2023-02-11,2,53.15,7,7,era5
2023-02-11,3,56.10,6,6,era5
2023-02-11,9,55.10,5,5,era5
2023-02-12,1,70.65,4,4,era5
2023-02-12,2,70.70,7,7,era5
2023-02-12,3,70.44,6,6,era5
2023-02-12,9,71.24,5,5,era5
2023-02-13,1,76.44,4,4,era5
2023-02-13,2,77.07,7,7,era5
2023-02-13,3,75.98,6,6,era5
2023-02-13,9,77.27,5,5,era5
2023-02-14,1,75.10,4,4,era5
2023-02-14,2,69.38,7,7,era5
2023-02-14,3,74.18,6,6,era5
2023-02-14,9,70.67,5,5,era5
2023-02-15,1,77.22,4,4,era5
2023-02-15,2,77.20,7,7,era5
2023-02-15,3,79.44,6,6,era5
2023-02-15,9,79.34,5,5,era5
2023-02-16,1,75.40,4,4,era5
2023-02-16,2,73.93,7,7,era5
2023-02-16,3,76.70,6,6,era5
2023-02-16,9,73.88,5,5,era5
2023-02-17,1,51.83,4,4,era5
2023-02-17,2,49.58,7,7,era5
2023-02-17,3,51.77,6,6,era5
2023-02-17,9,50.87,5,5,era5
2023-02-18,1,62.00,4,4,era5
2023-02-18,2,64.56,7,7,era5
2023-02-18,3,66.83,6,6,era5
2023-02-18,9,65.60,5,5,era5
2023-02-19,1,72.35,4,4,era5
2023-02-19,2,68.63,7,7,era5
2023-02-19,3,70.49,6,6,era5
2023-02-19,9,70.48,5,5,era5
2023-02-20,1,75.30,4,4,era5
2023-02-20,2,74.05,7,7,era5
2023-02-20,3,74.49,6,6,era5
2023-02-20,9,74.16,5,5,era5
2023-02-21,1,76.55,4,4,era5
2023-02-21,2,77.15,7,7,era5
2023-02-21,3,77.30,6,6,era5
2023-02-21,9,77.66,5,5,era5
2023-02-22,1,78.85,4,4,era5
2023-02-22,2,77.81,7,7,era5
2023-02-22,3,78.80,6,6,era5
2023-02-22,9,79.63,5,5,era5
2023-02-23,1,80.33,4,4,era5
2023-02-23,2,82.92,7,7,era5
2023-02-23,3,80.94,6,6,era5
2023-02-23,9,82.16,5,5,era5
2023-02-24,1,78.60,4,4,era5
2023-02-24,2,79.22,7,7,era5
2023-02-24,3,79.96,6,6,era5
2023-02-24,9,79.50,5,5,era5
2023-02-25,1,80.78,4,4,era5
2023-02-25,2,80.31,7,7,era5
2023-02-25,3,80.95,6,6,era5
2023-02-25,9,80.72,5,5,era5
2023-02-26,1,77.02,4,4,era5
2023-02-26,2,77.37,7,7,era5
2023-02-26,3,77.70,6,6,era5
2023-02-26,9,77.75,5,5,era5
2023-02-27,1,77.69,4,4,era5
2023-02-27,2,76.04,7,7,era5
2023-02-27,3,77.88,6,6,era5
2023-02-27,9,77.37,5,5,era5
2023-02-28,1,79.54,4,4,era5
2023-02-28,2,80.69,7,7,era5
2023-02-28,3,79.82,6,6,era5
2023-02-28,9,81.79,5,5,era5
2023-03-01,1,78.61,4,4,era5
2023-03-01,2,80.60,7,7,era5
2023-03-01,3,80.40,6,6,era5
2023-03-01,9,80.15,5,5,era5
2023-03-02,1,79.70,4,4,era5
2023-03-02,2,80.76,7,7,era5
2023-03-02,3,80.83,6,6,era5
2023-03-02,9,80.26,5,5,era5
2023-03-03,1,73.79,4,4,era5
2023-03-03,2,72.10,7,7,era5
2023-03-03,3,72.21,6,6,era5
2023-03-03,9,72.38,5,5,era5
2023-03-04,1,74.55,4,4,era5
2023-03-04,2,73.30,7,7,era5
2023-03-04,3,74.68,6,6,era5
2023-03-04,9,74.79,5,5,era5
2023-03-05,1,76.03,4,4,era5
2023-03-05,2,78.24,7,7,era5
2023-03-05,3,77.63,6,6,era5
2023-03-05,9,76.06,5,5,era5
2023-03-06,1,81.05,4,4,era5
2023-03-06,2,81.46,7,7,era5
2023-03-06,3,81.02,6,6,era5
2023-03-06,9,82.63,5,5,era5
2023-03-07,1,83.52,4,4,era5
2023-03-07,2,82.68,7,7,era5
2023-03-07,3,82.64,6,6,era5
2023-03-07,9,82.57,5,5,era5
2023-03-08,1,86.08,4,4,era5
2023-03-08,2,83.13,7,7,era5
2023-03-08,3,83.13,6,6,era5
2023-03-08,9,82.54,5,5,era5
2023-03-09,1,82.66,4,4,era5
2023-03-09,2,79.74,7,7,era5
2023-03-09,3,81.65,6,6,era5
2023-03-09,9,79.69,5,5,era5
2023-03-10,1,76.97,4,4,era5
2023-03-10,2,74.57,7,7,era5
2023-03-10,3,79.09,6,6,era5
2023-03-10,9,75.76,5,5,era5
2023-03-11,1,75.89,4,4,era5
2023-03-11,2,77.07,7,7,era5
2023-03-11,3,77.34,6,6,era5
2023-03-11,9,76.67,5,5,era5
2023-03-12,1,77.61,4,4,era5
2023-03-12,2,77.61,7,7,era5
2023-03-12,3,77.83,6,6,era5
2023-03-12,9,77.82,5,5,era5
2023-03-13,1,61.32,4,4,era5
2023-03-13,2,62.52,7,7,era5
2023-03-13,3,61.84,6,6,era5
2023-03-13,9,62.65,5,5,era5
2023-03-14,1,59.08,4,4,era5
2023-03-14,2,58.86,7,7,era5
2023-03-14,3,58.54,6,6,era5
2023-03-14,9,59.45,5,5,era5
2023-03-15,1,62.64,4,4,era5
2023-03-15,2,67.87,7,7,era5
2023-03-15,3,65.17,6,6,era5
2023-03-15,9,69.22,5,5,era5
2023-03-16,1,70.38,4,4,era5
2023-03-16,2,71.81,7,7,era5
2023-03-16,3,71.56,6,6,era5
2023-03-16,9,70.87,5,5,era5
2023-03-17,1,69.47,4,4,era5
2023-03-17,2,62.70,7,7,era5
2023-03-17,3,68.49,6,6,era5
2023-03-17,9,64.95,5,5,era5
2023-03-18,1,52.35,4,4,era5
2023-03-18,2,51.49,7,7,era5
2023-03-18,3,50.72,6,6,era5
2023-03-18,9,51.74,5,5,era5
2023-03-19,1,49.85,4,4,era5
2023-03-19,2,50.20,7,7,era5
2023-03-19,3,50.80,6,6,era5
2023-03-19,9,50.61,5,5,era5
2023-03-20,1,54.26,4,4,era5
2023-03-20,2,56.36,7,7,era5
2023-03-20,3,54.79,6,6,era5
2023-03-20,9,58.57,5,5,era5
2023-03-21,1,66.25,4,4,era5
2023-03-21,2,69.37,7,7,era5
2023-03-21,3,68.83,6,6,era5
2023-03-21,9,67.27,5,5,era5
2023-03-22,1,74.43,4,4,era5
2023-03-22,2,76.02,7,7,era5
2023-03-22,3,76.47,6,6,era5
2023-03-22,9,75.78,5,5,era5
2023-03-23,1,77.90,4,4,era5
2023-03-23,2,79.58,7,7,era5
2023-03-23,3,79.62,6,6,era5
2023-03-23,9,79.61,5,5,era5
