date,station,high_f,low_f,average_f,peak_heat_index_f,morning_low_f,hi_hours_105,hi_hours_108,temperature_hours,heat_index_hours,expected_hours
2023-01-01,KASD,69.0,48.0,61.5,69.4,48.0,0,0,24,24,24
2023-01-01,KBTR,69.0,50.0,60.6,69.3,50.0,0,0,24,24,24
2023-01-01,KGAO,70.3,57.2,65.8,70.9,57.2,0,0,24,24,24
2023-01-01,KHDC,62.6,48.2,54.2,62.9,48.2,0,0,3,3,24
2023-01-01,KHUM,71.6,57.2,64.0,72.2,57.2,0,0,21,21,24
2023-01-01,KMSY,73.0,53.0,63.0,73.6,53.0,0,0,24,24,24
2023-01-01,KNEW,71.0,51.0,60.2,71.4,51.0,0,0,24,24,24
2023-01-01,KPTN,71.0,54.0,64.5,71.6,54.0,0,0,24,24,24
2023-01-01,KREG,72.3,50.5,62.7,72.7,50.5,0,0,24,24,24
2023-01-02,KASD,78.0,68.0,72.0,78.7,68.0,0,0,24,24,24
2023-01-02,KBTR,82.0,66.0,73.4,85.4,66.0,0,0,24,24,24
2023-01-02,KGAO,77.4,69.4,72.6,78.1,69.4,0,0,24,24,24
2023-01-02,KHDC,75.2,66.2,70.2,75.8,66.2,0,0,10,10,24
2023-01-02,KHUM,78.8,68.4,72.1,79.7,68.4,0,0,22,22,24
2023-01-02,KMSY,78.0,68.0,72.0,78.7,68.0,0,0,24,24,24
2023-01-02,KNEW,79.0,67.0,72.3,79.6,67.0,0,0,24,24,24
2023-01-02,KPTN,76.0,69.0,72.4,76.7,69.0,0,0,22,22,24
2023-01-02,KREG,81.3,69.0,74.3,83.9,69.0,0,0,24,24,24
2023-01-03,KASD,77.0,70.0,73.4,77.6,70.0,0,0,24,24,24
2023-01-03,KBTR,80.0,69.0,73.8,83.5,72.0,0,0,24,24,24
2023-01-03,KGAO,80.2,71.6,75.0,84.7,71.6,0,0,24,24,24
2023-01-03,KHDC,75.2,66.2,72.9,75.9,68.0,0,0,11,11,24
2023-01-03,KHUM,75.2,69.8,72.1,75.9,69.8,0,0,23,23,24
2023-01-03,KMSY,77.0,68.0,72.8,77.7,68.0,0,0,24,24,24
2023-01-03,KNEW,77.0,72.0,74.2,77.6,72.0,0,0,24,24,24
2023-01-03,KPTN,76.0,70.0,72.8,76.7,70.0,0,0,24,24,24
2023-01-03,KREG,78.8,69.0,74.9,79.5,73.6,0,0,24,24,24
2023-01-04,KASD,75.0,53.0,64.0,74.6,58.0,0,0,24,24,24
2023-01-04,KBTR,74.0,56.0,64.7,73.2,59.0,0,0,24,24,24
2023-01-04,KGAO,78.8,61.2,68.2,78.2,61.3,0,0,24,24,24
2023-01-04,KHDC,73.4,57.2,67.1,72.6,57.2,0,0,10,10,24
2023-01-04,KHUM,75.2,55.4,65.4,74.5,60.8,0,0,20,20,24
2023-01-04,KMSY,76.0,57.0,65.8,75.3,58.0,0,0,24,24,24
2023-01-04,KNEW,73.0,58.0,63.1,73.6,58.0,0,0,24,24,24
2023-01-04,KPTN,74.0,53.0,63.7,73.4,58.0,0,0,23,23,24
2023-01-04,KREG,77.5,57.6,66.1,76.7,57.6,0,0,24,24,24
2023-01-05,KASD,70.0,44.0,55.2,69.1,44.0,0,0,24,24,24
2023-01-05,KBTR,68.0,44.0,54.7,67.0,44.0,0,0,24,24,24
