date,ldh_region,high_f,low_f,average_f,peak_heat_index_f,morning_low_f,hi_hours_105,hi_hours_108,hi_2day_mean_f,hi_3day_mean_f,consecutive_hi108_days,temperature_hours,heat_index_hours,expected_hours,weather_sources,fallback_used,source_count,population_2020
2023-01-01,1,,,,,,,,,,,,,,,,0,892057
2023-01-01,2,,,,,,,,,,,,,,,,0,696328
2023-01-01,3,,,,,,,,,,,,,,,,0,343394
2023-01-01,9,,,,,,,,,,,,,,,,0,596392
2023-01-02,1,,,,,,,,,,,,,,,,0,892057
2023-01-02,2,,,,,,,,,,,,,,,,0,696328
2023-01-02,3,,,,,,,,,,,,,,,,0,343394
2023-01-02,9,,,,,,,,,,,,,,,,0,596392
2023-01-03,1,,,,,,,,,,,,,,,,0,892057
2023-01-03,2,,,,,,,,,,,,,,,,0,696328
2023-01-03,3,,,,,,,,,,,,,,,,0,343394
2023-01-03,9,,,,,,,,,,,,,,,,0,596392
2023-01-04,1,,,,,,,,,,,,,,,,0,892057
2023-01-04,2,,,,,,,,,,,,,,,,0,696328
2023-01-04,3,,,,,,,,,,,,,,,,0,343394
2023-01-04,9,,,,,,,,,,,,,,,,0,596392
2023-01-05,1,,,,,,,,,,,,,,,,0,892057
2023-01-05,2,,,,,,,,,,,,,,,,0,696328
2023-01-05,3,,,,,,,,,,,,,,,,0,343394
2023-01-05,9,,,,,,,,,,,,,,,,0,596392
2023-01-06,1,,,,,,,,,,,,,,,,0,892057
2023-01-06,2,,,,,,,,,,,,,,,,0,696328
2023-01-06,3,,,,,,,,,,,,,,,,0,343394
2023-01-06,9,,,,,,,,,,,,,,,,0,596392
2023-01-07,1,,,,,,,,,,,,,,,,0,892057
2023-01-07,2,,,,,,,,,,,,,,,,0,696328
2023-01-07,3,,,,,,,,,,,,,,,,0,343394
2023-01-07,9,,,,,,,,,,,,,,,,0,596392
2023-01-08,1,,,,,,,,,,,,,,,,0,892057
2023-01-08,2,,,,,,,,,,,,,,,,0,696328
2023-01-08,3,,,,,,,,,,,,,,,,0,343394
2023-01-08,9,,,,,,,,,,,,,,,,0,596392
2023-01-09,1,,,,,,,,,,,,,,,,0,892057
2023-01-09,2,,,,,,,,,,,,,,,,0,696328
2023-01-09,3,,,,,,,,,,,,,,,,0,343394
2023-01-09,9,,,,,,,,,,,,,,,,0,596392
2023-01-10,1,,,,,,,,,,,,,,,,0,892057
2023-01-10,2,,,,,,,,,,,,,,,,0,696328
2023-01-10,3,,,,,,,,,,,,,,,,0,343394
2023-01-10,9,,,,,,,,,,,,,,,,0,596392
2023-01-11,1,,,,,,,,,,,,,,,,0,892057
2023-01-11,2,,,,,,,,,,,,,,,,0,696328
2023-01-11,3,,,,,,,,,,,,,,,,0,343394
2023-01-11,9,,,,,,,,,,,,,,,,0,596392
2023-01-12,1,,,,,,,,,,,,,,,,0,892057
2023-01-12,2,,,,,,,,,,,,,,,,0,696328
2023-01-12,3,,,,,,,,,,,,,,,,0,343394
2023-01-12,9,,,,,,,,,,,,,,,,0,596392
2023-01-13,1,,,,,,,,,,,,,,,,0,892057
2023-01-13,2,,,,,,,,,,,,,,,,0,696328
2023-01-13,3,,,,,,,,,,,,,,,,0,343394
2023-01-13,9,,,,,,,,,,,,,,,,0,596392
2023-01-14,1,,,,,,,,,,,,,,,,0,892057
2023-01-14,2,,,,,,,,,,,,,,,,0,696328
2023-01-14,3,,,,,,,,,,,,,,,,0,343394
2023-01-14,9,,,,,,,,,,,,,,,,0,596392
2023-01-15,1,,,,,,,,,,,,,,,,0,892057
2023-01-15,2,,,,,,,,,,,,,,,,0,696328
2023-01-15,3,,,,,,,,,,,,,,,,0,343394
2023-01-15,9,,,,,,,,,,,,,,,,0,596392
2023-01-16,1,,,,,,,,,,,,,,,,0,892057
2023-01-16,2,,,,,,,,,,,,,,,,0,696328
2023-01-16,3,,,,,,,,,,,,,,,,0,343394
2023-01-16,9,,,,,,,,,,,,,,,,0,596392
2023-01-17,1,,,,,,,,,,,,,,,,0,892057
2023-01-17,2,,,,,,,,,,,,,,,,0,696328
2023-01-17,3,,,,,,,,,,,,,,,,0,343394
2023-01-17,9,,,,,,,,,,,,,,,,0,596392
2023-01-18,1,,,,,,,,,,,,,,,,0,892057
2023-01-18,2,,,,,,,,,,,,,,,,0,696328
2023-01-18,3,,,,,,,,,,,,,,,,0,343394
2023-01-18,9,,,,,,,,,,,,,,,,0,596392
2023-01-19,1,,,,,,,,,,,,,,,,0,892057
2023-01-19,2,,,,,,,,,,,,,,,,0,696328
2023-01-19,3,,,,,,,,,,,,,,,,0,343394
2023-01-19,9,,,,,,,,,,,,,,,,0,596392
2023-01-20,1,,,,,,,,,,,,,,,,0,892057
2023-01-20,2,,,,,,,,,,,,,,,,0,696328
2023-01-20,3,,,,,,,,,,,,,,,,0,343394
2023-01-20,9,,,,,,,,,,,,,,,,0,596392
2023-01-21,1,,,,,,,,,,,,,,,,0,892057
2023-01-21,2,,,,,,,,,,,,,,,,0,696328
2023-01-21,3,,,,,,,,,,,,,,,,0,343394
2023-01-21,9,,,,,,,,,,,,,,,,0,596392
2023-01-22,1,,,,,,,,,,,,,,,,0,892057
2023-01-22,2,,,,,,,,,,,,,,,,0,696328
2023-01-22,3,,,,,,,,,,,,,,,,0,343394
2023-01-22,9,,,,,,,,,,,,,,,,0,596392
2023-01-23,1,,,,,,,,,,,,,,,,0,892057
2023-01-23,2,,,,,,,,,,,,,,,,0,696328
2023-01-23,3,,,,,,,,,,,,,,,,0,343394
2023-01-23,9,,,,,,,,,,,,,,,,0,596392
